name	userID	userDate	screenName	author	messageID	messageDate	messageText
jada | RUNAWAYS 🦖	2361323018	1393341497.0	hollandsfIash	jada | RUNAWAYS 🦖	935541839242940416	1511881930.0	RT @captaindeadpooI: why do ppl call Despacito “Justin Bieber’s Despacito” as if the bieber version isn’t just a white devil discount remix…
karly Bermudez♠✌	2367464378	1393696047.0	karlaBermudez96	karly Bermudez♠✌	935541984953077762	1511881965.0	RT @EstephaniaHer12: @karlaBermudez96 @Aleexmonth @adris_bieber @joelbemyangel Lo mas hermoso fue que todas nos veíamos bien xD esa eleganc…
karly Bermudez♠✌	2367464378	1393696047.0	karlaBermudez96	karly Bermudez♠✌	935542009229643777	1511881971.0	RT @Aleexmonth: @EstephaniaHer12 @karlaBermudez96 @adris_bieber @joelbemyangel Jajajajaja 😂😂😂😂😂😂 Que estilooo
karly Bermudez♠✌	2367464378	1393696047.0	karlaBermudez96	karly Bermudez♠✌	935542027005169666	1511881975.0	RT @EstephaniaHer12: @Aleexmonth @karlaBermudez96 @adris_bieber @joelbemyangel A si , si nos andamos ligando a un incienso o a Renato.
nicole	2442722906	1397417784.0	nickivianna	nicole	935541783659991040	1511881917.0	RT @prtectjurstin: eu nasci pra amar e enaltecer os vocais maravilhosos de justin bieber em the feeling ao vivo, pisa mt na versão estúdio…
Wallace N.	2498553011	1398037286.0	WallaceNatthan	Wallace N.	935541909619200000	1511881947.0	"RT @JBiieberProjeto: JUSTIN BIEBER ESTÁ CONCORRENDO EM TRÊS CATEGORIAS NO #GRAMMYs COM A MUSICA ""DESPACITO REMIX"", ÍCONE FAZ ASSIM!👑 https:…"
😍	2619810984	1405117495.0	5H_Jelena	😍	935541707768254469	1511881899.0	RT @BieberNovidade: Se “Despacito Remix” ganhar alguma categoria, o prêmio vai para Luis Fonsi e Justin Bieber. #GRAMMYs
I STAN A BAD BITCH	2625337434	1405165519.0	DEM_Mustangs16	I STAN A BAD BITCH	935541927986040836	1511881951.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
camila♛|-109	2713591809	1405466094.0	camzizzle	camila♛|-109	935541783269904385	1511881917.0	RT @blessjuxtin: JUSTIN BIEBER HIZO UN CAMBIO POR EL MISMO, EL LLAMO A SCOOTER Y LE DIJO QUE LO AYUDARA A CAMBIAR, EL FUE SU PROPIA INICIAT…
camila♛|-109	2713591809	1405466094.0	camzizzle	camila♛|-109	935542048157036544	1511881980.0	RT @billsluts: @flickerpoetry Y qué te hace pensar que Justin Bieber, Luis Fonsi y Daddy Yankee no valen la pena? Que lo odies y probableme…
John Smailes	2657837192	1405713096.0	joco18023	John Smailes	935541996369907712	1511881968.0	"RT @PrisonPlanet: White, British teen planned terror attack on Justin Bieber concert for “Allah”.

Tell me again about how Islam is a race,…"
